Staff,starttime,endtime,work_length,date,tod,work_length_minutes
Staff 18,2022-10-29 09:38:30,2022-10-29 17:52:44,0 days 08:14:14,2022-10-29,morning,494.23333333333335
Staff 18,2022-10-30 10:00:48,2022-10-30 17:58:51,0 days 07:58:03,2022-10-30,morning,478.05
Staff 18,2022-10-31 09:50:59,2022-10-31 17:51:00,0 days 08:00:01,2022-10-31,morning,480.01666666666665
Staff 19,2022-10-03 10:13:33,2022-10-03 15:47:24,0 days 05:33:51,2022-10-03,morning,333.85
Staff 19,2022-10-04 10:03:26,2022-10-04 17:36:34,0 days 07:33:08,2022-10-04,morning,453.1333333333333
Staff 19,2022-10-06 10:06:13,2022-10-06 17:33:49,0 days 07:27:36,2022-10-06,morning,447.6
Staff 19,2022-10-07 10:39:38,2022-10-07 17:37:54,0 days 06:58:16,2022-10-07,morning,418.26666666666665
Staff 19,2022-10-10 10:02:57,2022-10-10 16:37:17,0 days 06:34:20,2022-10-10,morning,394.3333333333333
Staff 19,2022-10-11 09:26:46,2022-10-11 17:54:44,0 days 08:27:58,2022-10-11,morning,507.96666666666664
Staff 19,2022-10-12 10:10:54,2022-10-12 17:37:06,0 days 07:26:12,2022-10-12,morning,446.2
Staff 19,2022-10-13 09:28:18,2022-10-13 16:34:51,0 days 07:06:33,2022-10-13,morning,426.55
Staff 19,2022-10-14 09:50:55,2022-10-14 17:16:12,0 days 07:25:17,2022-10-14,morning,445.28333333333336
Staff 19,2022-10-17 09:58:52,2022-10-17 17:23:45,0 days 07:24:53,2022-10-17,morning,444.8833333333333
Staff 19,2022-10-18 09:56:55,2022-10-18 17:40:50,0 days 07:43:55,2022-10-18,morning,463.9166666666667
Staff 19,2022-10-19 09:04:48,2022-10-19 17:59:09,0 days 08:54:21,2022-10-19,morning,534.35
Staff 19,2022-10-20 09:01:47,2022-10-20 17:59:55,0 days 08:58:08,2022-10-20,morning,538.1333333333333
Staff 19,2022-10-21 09:01:50,2022-10-21 17:33:12,0 days 08:31:22,2022-10-21,morning,511.3666666666667
Staff 19,2022-10-22 11:26:37,2022-10-22 13:04:31,0 days 01:37:54,2022-10-22,morning,97.9
Staff 19,2022-10-24 10:16:55,2022-10-24 17:35:28,0 days 07:18:33,2022-10-24,morning,438.55
Staff 19,2022-10-25 10:01:02,2022-10-25 17:49:49,0 days 07:48:47,2022-10-25,morning,468.78333333333336
Staff 19,2022-10-26 10:11:36,2022-10-26 17:33:48,0 days 07:22:12,2022-10-26,morning,442.2
Staff 19,2022-10-27 09:05:25,2022-10-27 17:57:27,0 days 08:52:02,2022-10-27,morning,532.0333333333333
Staff 19,2022-10-28 09:42:31,2022-10-28 17:13:09,0 days 07:30:38,2022-10-28,morning,450.6333333333333
Staff 20,2022-10-19 14:24:07,2022-10-19 16:17:01,0 days 01:52:54,2022-10-19,afternoon,112.9
Staff 20,2022-10-20 10:13:31,2022-10-20 17:10:40,0 days 06:57:09,2022-10-20,morning,417.15
Staff 20,2022-10-21 10:06:42,2022-10-21 17:04:31,0 days 06:57:49,2022-10-21,morning,417.81666666666666
Staff 20,2022-10-24 10:02:11,2022-10-24 17:35:33,0 days 07:33:22,2022-10-24,morning,453.3666666666667
Staff 20,2022-10-25 10:02:20,2022-10-25 16:49:46,0 days 06:47:26,2022-10-25,morning,407.43333333333334
Staff 20,2022-10-26 10:11:35,2022-10-26 17:28:01,0 days 07:16:26,2022-10-26,morning,436.43333333333334
Staff 20,2022-10-27 09:00:02,2022-10-27 17:36:47,0 days 08:36:45,2022-10-27,morning,516.75
Staff 20,2022-10-28 10:16:44,2022-10-28 17:23:10,0 days 07:06:26,2022-10-28,morning,426.43333333333334
Staff 20,2022-10-29 11:04:52,2022-10-29 16:19:55,0 days 05:15:03,2022-10-29,morning,315.05
Staff 20,2022-10-30 12:44:33,2022-10-30 16:57:38,0 days 04:13:05,2022-10-30,morning,253.08333333333334
Staff 20,2022-10-31 09:03:50,2022-10-31 12:42:46,0 days 03:38:56,2022-10-31,morning,218.93333333333334
Staff 22,2022-10-03 10:05:11,2022-10-03 17:26:06,0 days 07:20:55,2022-10-03,morning,440.9166666666667
Staff 22,2022-10-04 09:53:10,2022-10-04 17:39:27,0 days 07:46:17,2022-10-04,morning,466.28333333333336
Staff 22,2022-10-05 09:57:35,2022-10-05 17:58:45,0 days 08:01:10,2022-10-05,morning,481.1666666666667
Staff 22,2022-10-06 09:57:32,2022-10-06 15:54:21,0 days 05:56:49,2022-10-06,morning,356.81666666666666
Staff 22,2022-10-07 10:05:49,2022-10-07 17:39:39,0 days 07:33:50,2022-10-07,morning,453.8333333333333
Staff 22,2022-10-10 10:03:17,2022-10-10 17:09:05,0 days 07:05:48,2022-10-10,morning,425.8
Staff 22,2022-10-11 10:03:14,2022-10-11 17:31:15,0 days 07:28:01,2022-10-11,morning,448.01666666666665
Staff 22,2022-10-12 10:10:09,2022-10-12 17:15:00,0 days 07:04:51,2022-10-12,morning,424.85
Staff 22,2022-10-13 09:28:25,2022-10-13 17:15:45,0 days 07:47:20,2022-10-13,morning,467.3333333333333
