Technician,Location,from,to
Staff 10,"19.552,14.097","9/27/2022, 5:00:01 PM","9/27/2022, 5:00:01 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:00:01 PM","9/27/2022, 5:00:03 PM"
Staff 10,"19.558,13.895","9/27/2022, 5:00:03 PM","9/27/2022, 5:00:23 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:00:23 PM","9/27/2022, 5:00:24 PM"
Staff 10,"19.584,14.129","9/27/2022, 5:00:24 PM","9/27/2022, 5:00:48 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:00:48 PM","9/27/2022, 5:00:50 PM"
Staff 10,"19.651,14.132","9/27/2022, 5:00:50 PM","9/27/2022, 5:01:36 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:01:36 PM","9/27/2022, 5:01:38 PM"
Staff 10,"19.565,14.162","9/27/2022, 5:01:38 PM","9/27/2022, 5:01:38 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:01:38 PM","9/27/2022, 5:01:40 PM"
Staff 10,"19.592,14.107","9/27/2022, 5:01:40 PM","9/27/2022, 5:01:47 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:01:47 PM","9/27/2022, 5:01:48 PM"
Staff 10,"19.624,14.076","9/27/2022, 5:01:48 PM","9/27/2022, 5:01:53 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:01:53 PM","9/27/2022, 5:01:54 PM"
Staff 10,"19.638,14.117","9/27/2022, 5:01:54 PM","9/27/2022, 5:02:38 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:02:38 PM","9/27/2022, 5:02:39 PM"
Staff 10,"19.567,14.136","9/27/2022, 5:02:39 PM","9/27/2022, 5:02:40 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:02:40 PM","9/27/2022, 5:02:42 PM"
Staff 10,"19.612,14.137","9/27/2022, 5:02:42 PM","9/27/2022, 5:03:03 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:03:03 PM","9/27/2022, 5:03:05 PM"
Staff 10,"19.569,14.092","9/27/2022, 5:03:05 PM","9/27/2022, 5:03:22 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:03:22 PM","9/27/2022, 5:03:24 PM"
Staff 10,"19.584,14.005","9/27/2022, 5:03:24 PM","9/27/2022, 5:03:37 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:03:37 PM","9/27/2022, 5:03:38 PM"
Staff 10,"19.406,13.899","9/27/2022, 5:03:38 PM","9/27/2022, 5:03:38 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:03:38 PM","9/27/2022, 5:03:41 PM"
Staff 10,"19.607,14.048","9/27/2022, 5:03:41 PM","9/27/2022, 5:03:44 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:03:44 PM","9/27/2022, 5:03:45 PM"
Staff 10,"19.605,14.151","9/27/2022, 5:03:45 PM","9/27/2022, 5:04:07 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:04:07 PM","9/27/2022, 5:04:09 PM"
Staff 10,"19.645,14.183","9/27/2022, 5:04:09 PM","9/27/2022, 5:04:19 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:04:19 PM","9/27/2022, 5:04:21 PM"
Staff 10,"19.606,14.184","9/27/2022, 5:04:21 PM","9/27/2022, 5:04:52 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:04:52 PM","9/27/2022, 5:04:53 PM"
Staff 10,"19.58,14.049","9/27/2022, 5:04:53 PM","9/27/2022, 5:05:25 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:05:25 PM","9/27/2022, 5:05:26 PM"
Staff 10,"19.574,14.159","9/27/2022, 5:05:26 PM","9/27/2022, 5:05:56 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:05:56 PM","9/27/2022, 5:05:59 PM"
Staff 10,"19.574,14.153","9/27/2022, 5:05:59 PM","9/27/2022, 5:06:17 PM"
