Technician,Location,from,to
Staff 18,"20.682,13.308","12/29/2022, 1:06:17 AM","12/29/2022, 1:06:31 AM"
Staff 18,"20.436,14.337","12/29/2022, 1:06:31 AM","12/29/2022, 1:07:09 AM"
Staff 18,"19.338,14.276","12/29/2022, 1:07:09 AM","12/29/2022, 1:08:45 AM"
Staff 18,"19.002,13.007","12/29/2022, 1:08:45 AM","12/29/2022, 1:08:53 AM"
Staff 18,"19.281,13.966","12/29/2022, 1:08:53 AM","12/29/2022, 1:09:40 AM"
Staff 18,"18.241,14.158","12/29/2022, 1:09:40 AM","12/29/2022, 1:10:15 AM"
Staff 18,"19.288,14.185","12/29/2022, 1:10:15 AM","12/29/2022, 1:10:21 AM"
Staff 18,"20.027,13.423","12/29/2022, 1:10:21 AM","12/29/2022, 1:11:19 AM"
Staff 18,"19.387,14.243","12/29/2022, 1:11:19 AM","12/29/2022, 1:15:51 AM"
Staff 18,"20.095,13.325","12/29/2022, 1:15:51 AM","12/29/2022, 1:16:08 AM"
Staff 18,"19.361,14.213","12/29/2022, 1:16:08 AM","12/29/2022, 1:16:39 AM"
Staff 18,"19.651,12.934","12/29/2022, 1:16:39 AM","12/29/2022, 1:16:46 AM"
Staff 18,"19.114,14.003","12/29/2022, 1:16:46 AM","12/29/2022, 1:17:46 AM"
Staff 18,"19.38,12.76","12/29/2022, 1:17:46 AM","12/29/2022, 1:18:02 AM"
Staff 18,"20.092,13.96","12/29/2022, 1:18:02 AM","12/29/2022, 1:18:54 AM"
Staff 18,"19.084,14.234","12/29/2022, 1:18:54 AM","12/29/2022, 1:19:38 AM"
Staff 18,"19.863,13.384","12/29/2022, 1:19:38 AM","12/29/2022, 1:19:54 AM"
Staff 18,"19.2,14.289","12/29/2022, 1:19:54 AM","12/29/2022, 1:21:36 AM"
Staff 18,"17.966,14.154","12/29/2022, 1:21:36 AM","12/29/2022, 1:21:38 AM"
Staff 18,"18.833,13.514","12/29/2022, 1:21:38 AM","12/29/2022, 1:22:59 AM"
Staff 18,"19.945,13.636","12/29/2022, 1:22:59 AM","12/29/2022, 1:23:38 AM"
Staff 18,"19.02,14.343","12/29/2022, 1:23:38 AM","12/29/2022, 1:24:04 AM"
Staff 18,"19.667,13.492","12/29/2022, 1:24:04 AM","12/29/2022, 1:24:51 AM"
Staff 18,"20.386,12.755","12/29/2022, 1:24:51 AM","12/29/2022, 1:25:08 AM"
Staff 18,"19.895,14.231","12/29/2022, 1:25:08 AM","12/29/2022, 1:25:56 AM"
Staff 18,"20.077,13.066","12/29/2022, 1:25:56 AM","12/29/2022, 1:26:13 AM"
Staff 18,"19.928,14.095","12/29/2022, 1:26:13 AM","12/29/2022, 1:26:49 AM"
Staff 18,"19.444,13.096","12/29/2022, 1:26:49 AM","12/29/2022, 1:26:54 AM"
Staff 18,"19.031,14.163","12/29/2022, 1:26:54 AM","12/29/2022, 1:28:38 AM"
Staff 18,"20.016,13.593","12/29/2022, 1:28:38 AM","12/29/2022, 1:28:55 AM"
Staff 18,"20.889,13.027","12/29/2022, 1:28:55 AM","12/29/2022, 1:29:14 AM"
Staff 18,"20.406,14.223","12/29/2022, 1:29:14 AM","12/29/2022, 1:29:23 AM"
Staff 18,"19.391,14.397","12/29/2022, 1:29:23 AM","12/29/2022, 1:29:43 AM"
Staff 18,"19.144,13.173","12/29/2022, 1:29:43 AM","12/29/2022, 1:29:52 AM"
Staff 18,"20.111,13.594","12/29/2022, 1:29:52 AM","12/29/2022, 1:30:21 AM"
Staff 18,"19.286,14.281","12/29/2022, 1:30:21 AM","12/29/2022, 1:32:35 AM"
Staff 18,"18.794,12.946","12/29/2022, 1:32:35 AM","12/29/2022, 1:32:43 AM"
Staff 18,"19.045,13.95","12/29/2022, 1:32:43 AM","12/29/2022, 1:33:00 AM"
Staff 18,"20.178,13.154","12/29/2022, 1:33:00 AM","12/29/2022, 1:33:13 AM"
Staff 18,"19.779,14.333","12/29/2022, 1:33:13 AM","12/29/2022, 1:33:31 AM"
Staff 18,"20.736,13.153","12/29/2022, 1:33:31 AM","12/29/2022, 1:33:45 AM"
Staff 18,"20.36,14.235","12/29/2022, 1:33:45 AM","12/29/2022, 1:34:33 AM"
Staff 18,"19.221,14.28","12/29/2022, 1:34:33 AM","12/29/2022, 1:34:53 AM"
Staff 18,"18.285,13.139","12/29/2022, 1:34:53 AM","12/29/2022, 1:35:08 AM"
Staff 18,"19.014,13.881","12/29/2022, 1:35:08 AM","12/29/2022, 1:35:58 AM"
Staff 18,"20,12.98","12/29/2022, 1:35:58 AM","12/29/2022, 1:36:06 AM"
Staff 18,"20.349,13.982","12/29/2022, 1:36:06 AM","12/29/2022, 1:36:22 AM"
Staff 18,"19.221,14.251","12/29/2022, 1:36:22 AM","12/29/2022, 1:36:42 AM"
Staff 18,"18.638,12.832","12/29/2022, 1:36:42 AM","12/29/2022, 1:36:55 AM"
Staff 18,"19.607,13.29","12/29/2022, 1:36:55 AM","12/29/2022, 1:37:18 AM"
Staff 18,"19.266,14.301","12/29/2022, 1:37:18 AM","12/29/2022, 1:37:58 AM"
Staff 18,"20.267,13.143","12/29/2022, 1:37:58 AM","12/29/2022, 1:38:10 AM"
Staff 18,"20.155,14.267","12/29/2022, 1:38:10 AM","12/29/2022, 1:38:50 AM"
Staff 18,"19.115,14.33","12/29/2022, 1:38:50 AM","12/29/2022, 1:39:00 AM"
Staff 18,"20.008,13.017","12/29/2022, 1:39:00 AM","12/29/2022, 1:39:16 AM"
Staff 18,"19.736,14.152","12/29/2022, 1:39:16 AM","12/29/2022, 1:43:01 AM"
Staff 18,"19.299,13.168","12/29/2022, 1:43:01 AM","12/29/2022, 1:43:12 AM"
Staff 18,"19.751,14.104","12/29/2022, 1:43:12 AM","12/29/2022, 1:47:01 AM"
Staff 18,"19.457,12.935","12/29/2022, 1:47:01 AM","12/29/2022, 1:47:15 AM"
Staff 18,"20.475,13.285","12/29/2022, 1:47:15 AM","12/29/2022, 1:47:37 AM"
Staff 18,"19.512,14.245","12/29/2022, 1:47:37 AM","12/29/2022, 1:47:51 AM"
Staff 18,"19.353,12.999","12/29/2022, 1:47:51 AM","12/29/2022, 1:48:13 AM"
Staff 18,"20.022,13.762","12/29/2022, 1:48:13 AM","12/29/2022, 1:48:47 AM"
Staff 18,"19.576,12.698","12/29/2022, 1:48:47 AM","12/29/2022, 1:48:58 AM"
Staff 18,"20.103,13.605","12/29/2022, 1:48:58 AM","12/29/2022, 1:49:23 AM"
Staff 18,"19.244,14.148","12/29/2022, 1:49:23 AM","12/29/2022, 1:50:22 AM"
Staff 18,"20.01,13.336","12/29/2022, 1:50:22 AM","12/29/2022, 1:50:43 AM"
Staff 18,"19.323,14.281","12/29/2022, 1:50:43 AM","12/29/2022, 1:52:20 AM"
Staff 18,"18.25,12.958","12/29/2022, 1:52:20 AM","12/29/2022, 1:52:35 AM"
Staff 18,"18.899,13.822","12/29/2022, 1:52:35 AM","12/29/2022, 1:52:46 AM"
Staff 18,"19.033,12.618","12/29/2022, 1:52:46 AM","12/29/2022, 1:52:51 AM"
Staff 18,"19.445,13.542","12/29/2022, 1:52:51 AM","12/29/2022, 1:55:26 AM"
Staff 18,"20.425,12.752","12/29/2022, 1:55:26 AM","12/29/2022, 1:55:39 AM"
Staff 18,"20.056,14.168","12/29/2022, 1:55:39 AM","12/29/2022, 1:56:08 AM"
Staff 18,"20.281,13.084","12/29/2022, 1:56:08 AM","12/29/2022, 1:56:45 AM"
Staff 18,"19.666,14.164","12/29/2022, 1:56:45 AM","12/29/2022, 1:57:16 AM"
Staff 18,"18.446,13.704","12/29/2022, 1:57:16 AM","12/29/2022, 1:57:36 AM"
Staff 18,"19.075,12.911","12/29/2022, 1:57:36 AM","12/29/2022, 1:57:48 AM"
Staff 18,"19.875,13.742","12/29/2022, 1:57:48 AM","12/29/2022, 1:59:21 AM"
Staff 18,"17.982,14.188","12/29/2022, 1:59:21 AM","12/29/2022, 1:59:39 AM"
Staff 18,"18.991,14.282","12/29/2022, 1:59:39 AM","12/29/2022, 2:00:53 AM"
Staff 18,"19.821,13.496","12/29/2022, 2:00:53 AM","12/29/2022, 2:01:06 AM"
Staff 18,"21.253,13.708","12/29/2022, 2:01:06 AM","12/29/2022, 2:01:22 AM"
Staff 18,"20.146,14.281","12/29/2022, 2:01:22 AM","12/29/2022, 2:02:12 AM"
Staff 18,"19.09,14.264","12/29/2022, 2:02:12 AM","12/29/2022, 2:02:55 AM"
Staff 18,"20.058,13.371","12/29/2022, 2:02:55 AM","12/29/2022, 2:02:59 AM"
Staff 18,"18.953,12.791","12/29/2022, 2:02:59 AM","12/29/2022, 2:03:23 AM"
Staff 18,"19.216,13.876","12/29/2022, 2:03:23 AM","12/29/2022, 2:03:39 AM"
Staff 18,"19.826,12.995","12/29/2022, 2:03:39 AM","12/29/2022, 2:03:53 AM"
Staff 18,"20.361,13.84","12/29/2022, 2:03:53 AM","12/29/2022, 2:04:28 AM"
Staff 18,"19.231,14.184","12/29/2022, 2:04:28 AM","12/29/2022, 2:04:38 AM"
Staff 18,"19.869,13.345","12/29/2022, 2:04:38 AM","12/29/2022, 2:05:05 AM"
Staff 18,"19.249,14.225","12/29/2022, 2:05:05 AM","12/29/2022, 2:05:43 AM"
Staff 18,"19.794,12.993","12/29/2022, 2:05:43 AM","12/29/2022, 2:05:55 AM"
Staff 18,"19.789,14.085","12/29/2022, 2:05:55 AM","12/29/2022, 2:10:26 AM"
Staff 18,"20.1,12.649","12/29/2022, 2:10:26 AM","12/29/2022, 2:10:39 AM"
Staff 18,"20.753,13.676","12/29/2022, 2:10:39 AM","12/29/2022, 2:10:47 AM"
Staff 18,"17.725,13.35","12/29/2022, 2:10:47 AM","12/29/2022, 2:10:52 AM"
Staff 18,"18.471,14.094","12/29/2022, 2:10:52 AM","12/29/2022, 2:11:15 AM"
Staff 18,"19.717,14.196","12/29/2022, 2:11:15 AM","12/29/2022, 2:13:50 AM"
Staff 18,"17.907,14.235","12/29/2022, 2:13:50 AM","12/29/2022, 2:14:01 AM"
Staff 18,"18.917,14.264","12/29/2022, 2:14:01 AM","12/29/2022, 2:14:33 AM"
Staff 18,"20.09,13.534","12/29/2022, 2:14:33 AM","12/29/2022, 2:14:49 AM"
Staff 18,"19.372,14.304","12/29/2022, 2:14:49 AM","12/29/2022, 2:15:09 AM"
Staff 18,"19.363,13.147","12/29/2022, 2:15:09 AM","12/29/2022, 2:15:14 AM"
Staff 18,"19.36,14.207","12/29/2022, 2:15:14 AM","12/29/2022, 2:15:51 AM"
Staff 18,"18.234,13.733","12/29/2022, 2:15:51 AM","12/29/2022, 2:16:09 AM"
Staff 18,"19.142,14.172","12/29/2022, 2:16:09 AM","12/29/2022, 2:17:08 AM"
Staff 18,"18.312,12.932","12/29/2022, 2:17:08 AM","12/29/2022, 2:17:20 AM"
Staff 18,"19.505,13.545","12/29/2022, 2:17:20 AM","12/29/2022, 2:17:23 AM"
Staff 18,"20.001,12.635","12/29/2022, 2:17:23 AM","12/29/2022, 2:17:33 AM"
Staff 18,"20.543,13.54","12/29/2022, 2:17:33 AM","12/29/2022, 2:17:53 AM"
Staff 18,"19.706,14.232","12/29/2022, 2:17:53 AM","12/29/2022, 2:18:22 AM"
Staff 18,"19.812,12.943","12/29/2022, 2:18:22 AM","12/29/2022, 2:18:30 AM"
Staff 18,"20.266,13.87","12/29/2022, 2:18:30 AM","12/29/2022, 2:19:05 AM"
Staff 18,"19.087,14.295","12/29/2022, 2:19:05 AM","12/29/2022, 2:19:14 AM"
Staff 18,"19.831,13.296","12/29/2022, 2:19:14 AM","12/29/2022, 2:19:31 AM"
Staff 18,"19.312,14.247","12/29/2022, 2:19:31 AM","12/29/2022, 2:21:20 AM"
Staff 18,"20.047,13.203","12/29/2022, 2:21:20 AM","12/29/2022, 2:21:39 AM"
Staff 18,"19.62,14.259","12/29/2022, 2:21:39 AM","12/29/2022, 2:22:05 AM"
Staff 18,"19.683,12.985","12/29/2022, 2:22:05 AM","12/29/2022, 2:22:13 AM"
Staff 18,"19.677,14.038","12/29/2022, 2:22:13 AM","12/29/2022, 2:23:03 AM"
Staff 18,"19.044,12.611","12/29/2022, 2:23:03 AM","12/29/2022, 2:23:09 AM"
Staff 18,"19.483,13.527","12/29/2022, 2:23:09 AM","12/29/2022, 2:23:31 AM"
Staff 18,"19.94,12.573","12/29/2022, 2:23:31 AM","12/29/2022, 2:23:41 AM"
Staff 18,"20.676,13.486","12/29/2022, 2:23:41 AM","12/29/2022, 2:23:56 AM"
Staff 18,"19.397,14.212","12/29/2022, 2:23:56 AM","12/29/2022, 2:24:28 AM"
Staff 18,"19.592,13.139","12/29/2022, 2:24:28 AM","12/29/2022, 2:24:57 AM"
Staff 18,"20.326,13.832","12/29/2022, 2:24:57 AM","12/29/2022, 2:25:20 AM"
Staff 18,"19.116,14.188","12/29/2022, 2:25:20 AM","12/29/2022, 2:25:44 AM"
Staff 18,"19.504,12.855","12/29/2022, 2:25:44 AM","12/29/2022, 2:25:48 AM"
Staff 18,"17.417,13.903","12/29/2022, 2:25:48 AM","12/29/2022, 2:25:53 AM"
Staff 18,"18.554,13.072","12/29/2022, 2:25:53 AM","12/29/2022, 2:26:22 AM"
Staff 18,"19.49,13.635","12/29/2022, 2:26:22 AM","12/29/2022, 2:27:12 AM"
Staff 18,"20.03,12.748","12/29/2022, 2:27:12 AM","12/29/2022, 2:27:20 AM"
Staff 18,"20.129,13.793","12/29/2022, 2:27:20 AM","12/29/2022, 2:29:30 AM"
Staff 18,"19.538,12.974","12/29/2022, 2:29:30 AM","12/29/2022, 2:29:37 AM"
Staff 18,"18.999,13.827","12/29/2022, 2:29:37 AM","12/29/2022, 2:31:32 AM"
Staff 18,"20.283,13.198","12/29/2022, 2:31:32 AM","12/29/2022, 2:31:45 AM"
Staff 18,"20.045,14.301","12/29/2022, 2:31:45 AM","12/29/2022, 2:32:03 AM"
Staff 18,"19.94,13.192","12/29/2022, 2:32:03 AM","12/29/2022, 2:32:13 AM"
Staff 18,"19.789,14.192","12/29/2022, 2:32:13 AM","12/29/2022, 2:33:30 AM"
Staff 18,"19.818,13.108","12/29/2022, 2:33:30 AM","12/29/2022, 2:33:47 AM"
Staff 18,"20.229,14.089","12/29/2022, 2:33:47 AM","12/29/2022, 2:34:31 AM"
Staff 18,"19.182,14.231","12/29/2022, 2:34:31 AM","12/29/2022, 2:34:37 AM"
Staff 18,"19.662,13.341","12/29/2022, 2:34:37 AM","12/29/2022, 2:35:07 AM"
Staff 18,"19.227,14.332","12/29/2022, 2:35:07 AM","12/29/2022, 2:35:49 AM"
Staff 18,"20.534,13.2","12/29/2022, 2:35:49 AM","12/29/2022, 2:36:01 AM"
Staff 18,"19.937,14.182","12/29/2022, 2:36:01 AM","12/29/2022, 2:36:07 AM"
Staff 18,"20.273,13.232","12/29/2022, 2:36:07 AM","12/29/2022, 2:36:14 AM"
Staff 18,"19.715,14.253","12/29/2022, 2:36:14 AM","12/29/2022, 2:38:12 AM"
Staff 18,"19.324,12.926","12/29/2022, 2:38:12 AM","12/29/2022, 2:38:21 AM"
Staff 18,"19.72,13.953","12/29/2022, 2:38:21 AM","12/29/2022, 2:41:34 AM"
Staff 18,"19.71,12.78","12/29/2022, 2:41:34 AM","12/29/2022, 2:41:40 AM"
Staff 18,"20.329,13.732","12/29/2022, 2:41:40 AM","12/29/2022, 2:42:11 AM"
Staff 18,"19.437,14.245","12/29/2022, 2:42:11 AM","12/29/2022, 2:46:27 AM"
Staff 18,"20.16,13.17","12/29/2022, 2:46:27 AM","12/29/2022, 2:46:46 AM"
Staff 18,"19.293,14.224","12/29/2022, 2:46:46 AM","12/29/2022, 2:47:24 AM"
Staff 18,"19.458,12.866","12/29/2022, 2:47:24 AM","12/29/2022, 2:47:43 AM"
Staff 18,"20.133,13.746","12/29/2022, 2:47:43 AM","12/29/2022, 2:47:58 AM"
Staff 18,"19.276,14.282","12/29/2022, 2:47:58 AM","12/29/2022, 2:48:23 AM"
Staff 18,"19.882,13.274","12/29/2022, 2:48:23 AM","12/29/2022, 2:48:33 AM"
Staff 18,"19.463,14.189","12/29/2022, 2:48:33 AM","12/29/2022, 2:48:56 AM"
Staff 18,"20.071,13.198","12/29/2022, 2:48:56 AM","12/29/2022, 2:49:20 AM"
Staff 18,"20.183,14.267","12/29/2022, 2:49:20 AM","12/29/2022, 2:50:05 AM"
Staff 18,"19.162,14.301","12/29/2022, 2:50:05 AM","12/29/2022, 2:51:23 AM"
Staff 18,"19.93,13.298","12/29/2022, 2:51:23 AM","12/29/2022, 2:51:58 AM"
Staff 18,"19.401,14.275","12/29/2022, 2:51:58 AM","12/29/2022, 2:52:33 AM"
Staff 18,"19.707,13.308","12/29/2022, 2:52:33 AM","12/29/2022, 2:52:46 AM"
Staff 18,"19.227,14.228","12/29/2022, 2:52:46 AM","12/29/2022, 2:53:42 AM"
Staff 18,"18.384,13.012","12/29/2022, 2:53:42 AM","12/29/2022, 2:53:58 AM"
Staff 18,"19.509,13.217","12/29/2022, 2:53:58 AM","12/29/2022, 2:54:13 AM"
Staff 18,"20.486,13.44","12/29/2022, 2:54:13 AM","12/29/2022, 2:54:27 AM"
Staff 18,"19.374,14.324","12/29/2022, 2:54:27 AM","12/29/2022, 2:55:53 AM"
Staff 18,"18.102,12.878","12/29/2022, 2:55:53 AM","12/29/2022, 2:55:58 AM"
Staff 18,"18.519,13.914","12/29/2022, 2:55:58 AM","12/29/2022, 2:56:12 AM"
Staff 18,"19.719,13.427","12/29/2022, 2:56:12 AM","12/29/2022, 2:56:41 AM"
Staff 18,"20.259,14.365","12/29/2022, 2:56:41 AM","12/29/2022, 2:57:35 AM"
Staff 18,"19.136,14.247","12/29/2022, 2:57:35 AM","12/29/2022, 2:59:01 AM"
Staff 18,"20.153,13.254","12/29/2022, 2:59:01 AM","12/29/2022, 2:59:31 AM"
Staff 18,"19.531,14.342","12/29/2022, 2:59:31 AM","12/29/2022, 3:00:45 AM"
Staff 18,"19.039,13.11","12/29/2022, 3:00:45 AM","12/29/2022, 3:00:52 AM"
Staff 18,"19.212,14.127","12/29/2022, 3:00:52 AM","12/29/2022, 3:03:23 AM"
Staff 18,"19.878,13.338","12/29/2022, 3:03:23 AM","12/29/2022, 3:03:45 AM"
Staff 18,"19.312,14.448","12/29/2022, 3:03:45 AM","12/29/2022, 3:05:18 AM"
Staff 18,"18.921,13.187","12/29/2022, 3:05:18 AM","12/29/2022, 3:05:30 AM"
Staff 18,"19.878,13.558","12/29/2022, 3:05:30 AM","12/29/2022, 3:06:27 AM"
Staff 18,"19.204,14.299","12/29/2022, 3:06:27 AM","12/29/2022, 3:07:31 AM"
Staff 18,"19.36,12.711","12/29/2022, 3:07:31 AM","12/29/2022, 3:07:36 AM"
Staff 18,"20.107,13.438","12/29/2022, 3:07:36 AM","12/29/2022, 3:08:06 AM"
Staff 18,"19.002,14.25","12/29/2022, 3:08:06 AM","12/29/2022, 3:09:13 AM"
Staff 18,"20.034,13.056","12/29/2022, 3:09:13 AM","12/29/2022, 3:09:20 AM"
Staff 18,"19.799,14.036","12/29/2022, 3:09:20 AM","12/29/2022, 3:12:50 AM"
Staff 18,"19.406,12.935","12/29/2022, 3:12:50 AM","12/29/2022, 3:13:11 AM"
Staff 18,"19.372,14.016","12/29/2022, 3:13:11 AM","12/29/2022, 3:13:33 AM"
Staff 18,"18.693,13.079","12/29/2022, 3:13:33 AM","12/29/2022, 3:14:14 AM"
Staff 18,"19.761,13.332","12/29/2022, 3:14:14 AM","12/29/2022, 3:14:47 AM"
Staff 18,"19.34,14.323","12/29/2022, 3:14:47 AM","12/29/2022, 3:15:17 AM"
Staff 18,"19.939,13.436","12/29/2022, 3:15:17 AM","12/29/2022, 3:15:39 AM"
Staff 18,"19.167,14.248","12/29/2022, 3:15:39 AM","12/29/2022, 3:16:57 AM"
Staff 18,"20.257,13.197","12/29/2022, 3:16:57 AM","12/29/2022, 3:17:07 AM"
Staff 18,"19.954,14.184","12/29/2022, 3:17:07 AM","12/29/2022, 3:17:38 AM"
Staff 18,"18.693,13.153","12/29/2022, 3:17:38 AM","12/29/2022, 3:17:48 AM"
Staff 18,"19.335,13.984","12/29/2022, 3:17:48 AM","12/29/2022, 3:17:52 AM"
Staff 18,"19.906,13.09","12/29/2022, 3:17:52 AM","12/29/2022, 3:18:18 AM"
Staff 18,"19.369,14.171","12/29/2022, 3:18:18 AM","12/29/2022, 3:19:08 AM"
Staff 18,"20.184,13.263","12/29/2022, 3:19:08 AM","12/29/2022, 3:19:33 AM"
Staff 18,"19.666,14.122","12/29/2022, 3:19:33 AM","12/29/2022, 3:20:49 AM"
Staff 18,"19.856,13.048","12/29/2022, 3:20:49 AM","12/29/2022, 3:21:09 AM"
Staff 18,"20.741,13.628","12/29/2022, 3:21:09 AM","12/29/2022, 3:21:23 AM"
Staff 18,"19.996,14.372","12/29/2022, 3:21:23 AM","12/29/2022, 3:22:06 AM"
Staff 18,"18.988,14.241","12/29/2022, 3:22:06 AM","12/29/2022, 3:22:28 AM"
Staff 18,"19.994,14.24","12/29/2022, 3:22:28 AM","12/29/2022, 3:23:27 AM"
Staff 18,"18.571,13.057","12/29/2022, 3:23:27 AM","12/29/2022, 3:23:34 AM"
Staff 18,"19.311,13.748","12/29/2022, 3:23:34 AM","12/29/2022, 3:24:19 AM"
Staff 18,"18.209,13.666","12/29/2022, 3:24:19 AM","12/29/2022, 3:24:29 AM"
Staff 18,"19.117,13.141","12/29/2022, 3:24:29 AM","12/29/2022, 3:24:38 AM"
Staff 18,"19.273,14.162","12/29/2022, 3:24:38 AM","12/29/2022, 3:26:05 AM"
Staff 18,"19.92,13.239","12/29/2022, 3:26:05 AM","12/29/2022, 3:26:34 AM"
Staff 18,"19.464,14.293","12/29/2022, 3:26:34 AM","12/29/2022, 3:27:10 AM"
Staff 18,"20.019,13.313","12/29/2022, 3:27:10 AM","12/29/2022, 3:27:19 AM"
Staff 18,"19.379,14.182","12/29/2022, 3:27:19 AM","12/29/2022, 3:27:50 AM"
Staff 18,"18.426,13.278","12/29/2022, 3:27:50 AM","12/29/2022, 3:28:00 AM"
Staff 18,"18.897,14.202","12/29/2022, 3:28:00 AM","12/29/2022, 3:28:31 AM"
Staff 18,"19.861,13.308","12/29/2022, 3:28:31 AM","12/29/2022, 3:28:51 AM"
Staff 18,"19.279,14.285","12/29/2022, 3:28:51 AM","12/29/2022, 3:30:16 AM"
Staff 18,"19.683,13.207","12/29/2022, 3:30:16 AM","12/29/2022, 3:30:28 AM"
Staff 18,"19.758,14.203","12/29/2022, 3:30:28 AM","12/29/2022, 3:32:27 AM"
Staff 18,"19.323,12.774","12/29/2022, 3:32:27 AM","12/29/2022, 3:32:39 AM"
Staff 18,"19.863,13.65","12/29/2022, 3:32:39 AM","12/29/2022, 3:35:14 AM"
Staff 18,"19.119,14.322","12/29/2022, 3:35:14 AM","12/29/2022, 3:36:23 AM"
Staff 18,"19.563,13.365","12/29/2022, 3:36:23 AM","12/29/2022, 3:36:50 AM"
Staff 18,"19.127,14.318","12/29/2022, 3:36:50 AM","12/29/2022, 3:37:08 AM"
Staff 18,"18.48,13.239","12/29/2022, 3:37:08 AM","12/29/2022, 3:37:19 AM"
Staff 18,"19.584,13.319","12/29/2022, 3:37:19 AM","12/29/2022, 3:38:18 AM"
Staff 18,"19.2,14.296","12/29/2022, 3:38:18 AM","12/29/2022, 3:39:29 AM"
Staff 18,"19.723,13.225","12/29/2022, 3:39:29 AM","12/29/2022, 3:39:45 AM"
Staff 18,"19.449,14.197","12/29/2022, 3:39:45 AM","12/29/2022, 3:41:32 AM"
Staff 18,"20.192,13.513","12/29/2022, 3:41:32 AM","12/29/2022, 3:41:50 AM"
Staff 18,"19.508,14.313","12/29/2022, 3:41:50 AM","12/29/2022, 3:42:13 AM"
Staff 18,"19.644,12.947","12/29/2022, 3:42:13 AM","12/29/2022, 3:42:28 AM"
Staff 18,"19.756,14.056","12/29/2022, 3:42:28 AM","12/29/2022, 3:45:10 AM"
Staff 18,"19.967,12.939","12/29/2022, 3:45:10 AM","12/29/2022, 3:45:18 AM"
Staff 18,"20.446,13.903","12/29/2022, 3:45:18 AM","12/29/2022, 3:45:44 AM"
Staff 18,"19.288,14.268","12/29/2022, 3:45:44 AM","12/29/2022, 3:46:36 AM"
Staff 18,"19.983,13.415","12/29/2022, 3:46:36 AM","12/29/2022, 3:46:57 AM"
Staff 18,"19.256,14.329","12/29/2022, 3:46:57 AM","12/29/2022, 3:47:04 AM"
Staff 18,"18.535,13.026","12/29/2022, 3:47:04 AM","12/29/2022, 3:47:15 AM"
Staff 18,"20.009,13.266","12/29/2022, 3:47:15 AM","12/29/2022, 3:47:51 AM"
Staff 18,"19.564,14.258","12/29/2022, 3:47:51 AM","12/29/2022, 3:48:18 AM"
Staff 18,"20.273,12.96","12/29/2022, 3:48:18 AM","12/29/2022, 3:48:39 AM"
Staff 18,"19.998,14.182","12/29/2022, 3:48:39 AM","12/29/2022, 3:49:44 AM"
Staff 18,"21.036,13.678","12/29/2022, 3:49:44 AM","12/29/2022, 3:50:00 AM"
Staff 18,"20.118,14.142","12/29/2022, 3:50:00 AM","12/29/2022, 3:52:34 AM"
Staff 18,"19.118,14.302","12/29/2022, 3:52:34 AM","12/29/2022, 3:53:19 AM"
Staff 18,"20.118,13.454","12/29/2022, 3:53:19 AM","12/29/2022, 3:53:30 AM"
Staff 18,"19.443,14.331","12/29/2022, 3:53:30 AM","12/29/2022, 3:55:14 AM"
Staff 18,"20.015,13.446","12/29/2022, 3:55:14 AM","12/29/2022, 3:55:30 AM"
Staff 18,"18.584,13.946","12/29/2022, 3:55:30 AM","12/29/2022, 3:55:37 AM"
Staff 18,"19.122,13.021","12/29/2022, 3:55:37 AM","12/29/2022, 3:55:46 AM"
Staff 18,"19.149,14.156","12/29/2022, 3:55:46 AM","12/29/2022, 3:57:21 AM"
Staff 18,"18.101,12.732","12/29/2022, 3:57:21 AM","12/29/2022, 3:57:33 AM"
Staff 18,"19.037,13.237","12/29/2022, 3:57:33 AM","12/29/2022, 3:57:44 AM"
Staff 18,"20.135,12.964","12/29/2022, 3:57:44 AM","12/29/2022, 3:57:59 AM"
Staff 18,"20.328,11.387","12/29/2022, 3:57:59 AM","12/29/2022, 3:58:01 AM"
Staff 18,"20.378,12.503","12/29/2022, 3:58:01 AM","12/29/2022, 3:58:19 AM"
Staff 18,"20.902,13.709","12/29/2022, 3:58:19 AM","12/29/2022, 3:58:42 AM"
Staff 18,"20.025,12.959","12/29/2022, 3:58:42 AM","12/29/2022, 3:58:51 AM"
Staff 18,"19.878,14.002","12/29/2022, 3:58:51 AM","12/29/2022, 4:00:04 AM"
Staff 18,"19.39,12.933","12/29/2022, 4:00:04 AM","12/29/2022, 4:00:30 AM"
Staff 18,"19.651,14.103","12/29/2022, 4:00:30 AM","12/29/2022, 4:01:22 AM"
Staff 18,"19.23,13.133","12/29/2022, 4:01:22 AM","12/29/2022, 4:01:30 AM"
Staff 18,"19.504,14.145","12/29/2022, 4:01:30 AM","12/29/2022, 4:02:43 AM"
Staff 18,"19.635,12.856","12/29/2022, 4:02:43 AM","12/29/2022, 4:03:04 AM"
Staff 18,"20.456,13.479","12/29/2022, 4:03:04 AM","12/29/2022, 4:03:13 AM"
Staff 18,"19.562,14.244","12/29/2022, 4:03:13 AM","12/29/2022, 4:04:07 AM"
Staff 18,"18.832,13.315","12/29/2022, 4:04:07 AM","12/29/2022, 4:04:24 AM"
Staff 18,"19.829,13.81","12/29/2022, 4:04:24 AM","12/29/2022, 4:05:14 AM"
Staff 18,"19.018,12.561","12/29/2022, 4:05:14 AM","12/29/2022, 4:05:21 AM"
